date,year,month,state,sector,index,division,group,class,sub_class,item,code,mom_change,yoy_change
2025-02-01,2025,February,All India,Combined,101.81898718935116,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.082693082032681,
2025-03-01,2025,March,All India,Combined,102.10269636068946,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.2786407321167861,
2025-04-01,2025,April,All India,Combined,102.36348110898354,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.25541416396372973,
2025-05-01,2025,May,All India,Combined,102.65547743166917,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.2852543890870196,
2025-06-01,2025,June,All India,Combined,102.9305572493195,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.26796409167102464,
2025-07-01,2025,July,All India,Combined,103.18179849016484,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.24408809935496656,
2025-08-01,2025,August,All India,Combined,103.36284392035617,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.1754625649489805,
2025-09-01,2025,September,All India,Combined,103.47038864968017,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.10404583044065774,
2025-10-01,2025,October,All India,Combined,103.24234068249554,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,-0.22039925640633395,
2025-11-01,2025,November,All India,Combined,103.37325282494697,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.12680082763141254,
2025-12-01,2025,December,All India,Combined,103.48760233709174,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.11061808448498134,
2026-01-01,2026,January,All India,Combined,103.62264136432627,"Core CPI (Excluding gold, silver and rent)",*,*,*,*,*,0.13048812049454295,1.8555899866587566
